year,month,MKTRF,SMB,HML,RMW,CMA,UMD,HMLM,REG,IA,ROE,ME,PEAD,FIN,STR,ILR,EPRD
2003,9,-0.0124,0.0054,0.0016,0.0101,0.0034,-0.0019,0.010565545,0.023261,0.002279,0.012631,0.006889,-0.007086288,0.022626203,0.0462,-0.027204,-0.001558
2003,10,0.0608,0.0271,0.0197,-0.0135,0.0155,0.0399,0.006617662,-0.005642,0.01031,-0.017507,0.030474,0.037122388,-0.01052293,0.0217,-0.011742,-0.034079
2003,11,0.0135,0.0233,0.0178,0.0019,0.0181,0.0146,0.010324942,0.005379,0.023052,0.007767,0.021957,0.025325477,0.027726893,-0.0157,0.041463,-0.044747
2003,12,0.0429,-0.0249,0.016,0.0056,0.0094,-0.0557,0.053898773,-0.013486,0.00774,-0.017394,-0.027811,-0.016321866,0.005979494,0.0184,-0.081328,-0.073116
2004,1,0.0215,0.0245,0.0249,-0.0366,0.0338,0.0258,0.00227557,0.00837,0.020585,-0.024364,0.031121,-0.010660623,-0.023694015,0.0232,-0.057647,0.002438
2004,2,0.014,-0.0093,0.009,0.0217,-0.0121,-0.0114,0.009023575,-0.000152,-0.008855,0.021354,-0.003075,-0.003971483,0.029158009,0.0155,-0.062423,-0.006283
2004,3,-0.0132,0.021,0.0027,0.0156,-0.0098,0.0017,0.006424278,-0.010578,-0.007352,0.017567,0.025218,0.012395768,-0.006843116,-0.0216,0.006979,-0.002541
2004,4,-0.0183,-0.0201,-0.031,0.0345,-0.0284,-0.0538,0.010737539,0.01427,-0.029001,0.000193,-0.032185,0.009799213,0.052598863,-0.002,-0.009384,0.013797
2004,5,0.0117,-0.0038,-0.0025,-0.0118,0.0003,0.015,-0.011502324,-0.002178,0.00551,0.01068,-0.003819,0.001566718,-0.035289636,0.0228,-0.033888,0.002315
2004,6,0.0186,0.0256,0.0118,0.012,-0.0039,0.0205,0.023065342,0.006322,-0.002618,0.005621,0.022399,0.025951355,0.011724577,0.0032,0.000374,0.003135
2004,7,-0.0406,-0.0295,0.0324,0.0532,-0.0166,-0.0229,0.034984903,0.030646,-0.009772,0.024066,-0.033502,0.015469358,0.047214777,-0.0141,0.023711,0.033313
2004,8,0.0008,-0.0113,0.0097,0.0123,-0.0147,-0.0159,0.008390113,0.00176,-0.011997,-0.012272,-0.015163,0.004168069,0.01368041,-0.0239,0.05241,-0.004755
2004,9,0.016,0.0327,0,-0.0149,-0.0188,0.0549,-0.007777946,-0.016176,-0.022121,-0.002123,0.037951,0.012038685,-0.023076906,0.031,-0.007937,-0.030385
2004,10,0.0143,0.0019,-0.0022,-0.0052,0.0049,-0.0138,0.000678106,0.000033,0.00584,-0.014399,-0.007841,-0.00404148,-0.006923901,0.0025,-0.013558,0.022447
2004,11,0.0454,0.0411,0.0141,-0.0058,-0.0022,0.0316,0.020065231,-0.016565,-0.004263,-0.011342,0.044728,-0.011308601,-0.002655187,0.0153,0.024628,-0.054717
2004,12,0.0343,-0.0005,-0.0022,-0.0116,0.0046,-0.0287,0.010628877,-0.011293,0.003018,-0.008598,-0.000411,0.003161252,0.006417648,0.0094,0.005086,0.004402
2005,1,-0.0276,-0.0117,0.0206,0.0274,-0.0146,0.0305,0.001866534,0.012576,-0.004036,0.032457,-0.003941,0.004275817,0.062396711,0.0146,-0.002355,0.022728
2005,2,0.0189,-0.0031,0.0154,0.0143,-0.0005,0.0337,0.006947077,0.006662,0.002917,0.035726,0.001469,0.005780857,-0.013106758,-0.0245,0.041764,-0.028713
2005,3,-0.0197,-0.0142,0.0204,0.0047,0.0129,0.0041,0.020944875,0.018949,0.009394,0.00535,-0.017448,0.00121501,0.029633463,0.0009,-0.03554,0.011131
2005,4,-0.0261,-0.0398,0.0007,0.0097,-0.0094,-0.0069,-0.009501267,0.021604,-0.014563,-0.011019,-0.044794,0.000120758,0.000920636,-0.0184,0.060246,0.022418
2005,5,0.0365,0.0279,-0.0064,-0.01,0.003,0.0045,-0.006347922,0.004214,-0.000579,0.009641,0.029656,0.01951909,-0.015015746,0.0317,-0.004333,0.006653
2005,6,0.0057,0.0328,0.0283,0.0096,-0.0051,0.0205,0.014158919,-0.004164,-0.001983,-0.004264,0.038096,-0.002514191,-0.016447929,0.0003,0.031909,-0.0341
2005,7,0.0392,0.0281,-0.0079,-0.0119,-0.0082,0.0006,-0.003333684,-0.004054,-0.020714,-0.002083,0.027333,6.83E-05,-0.029278742,-0.0017,0.009012,-0.024445
2005,8,-0.0122,-0.0089,0.0132,-0.0205,0.0037,0.0208,0.001916804,-0.006039,0.002355,-0.006848,-0.007913,0.00303545,-0.021981353,-0.0137,0.00151,-0.007827
2005,9,0.0049,-0.0034,0.0071,0.0027,-0.006,0.0343,-0.005359708,0.002637,-0.000266,0.008619,0.000044,0.032455493,-0.010764033,-0.0369,0.083959,-0.016253
2005,10,-0.0202,-0.0145,0.0042,-0.0093,-0.013,-0.0139,-0.002514202,-0.005498,-0.003149,0.011011,-0.005108,-0.005069473,-0.021826136,0.0161,-0.042895,0.062608
2005,11,0.0361,0.0084,-0.0116,-0.0076,-0.0114,0.0035,-0.00502658,-0.006043,-0.010482,0.007751,0.012182,0.009063576,-0.00504205,0.001,0.001266,-0.002637
2005,12,-0.0025,-0.002,0.002,0.0021,0.0023,0.0077,0.004570692,0.01093,0.008804,0.002287,-0.000336,-0.009227924,-0.011559709,0.0204,0.028296,-0.01252
2006,1,0.0304,0.0575,0.0108,-0.0064,-0.0046,0.0253,-0.009916123,0.008783,-0.006797,-0.002611,0.064413,-0.003165285,-0.033654424,-0.01,0.066609,-0.016548
2006,2,-0.003,-0.0042,-0.0034,-0.0051,0.0191,-0.0184,0.010153376,-0.010257,0.024381,-0.009978,-0.00395,-0.006319657,0.006848186,0.0339,-0.086158,0.022992
2006,3,0.0146,0.0338,0.006,0.0006,-0.0041,0.0126,-0.008193014,-0.007877,-0.013435,0.007652,0.031221,0.020497096,-0.003881643,-0.0008,-0.013137,-0.008785
